,Index,Publishing Year,Title,Author,Author Rating,Book Average Rating,Book Ratings Count,Genre,Gross Sales,Publisher Revenue,Sale Price,Sales Rank,Publisher,Units Sold
305,305.0,2012,The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,Intermediate,3.89,94012.0,genre fiction,3694.6,2216.76,12.74,326.0,Hachette Book Group,290.0
306,306.0,2012,Every Day,David Levithan,Intermediate,3.99,121863.0,genre fiction,1149.12,689.472,3.99,327.0,"Amazon Digital Services,  Inc.",288.0
307,307.0,1991,Xenocide,Orson Scott Card,Intermediate,3.77,104467.0,genre fiction,1707.15,1024.29,5.99,329.0,Simon and Schuster Digital Sales Inc,285.0
309,309.0,1975,ShÅgun,James Clavell,Excellent,4.37,104339.0,genre fiction,2071.56,1242.936,7.32,330.0,Hachette Book Group,283.0
310,310.0,2006,"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,Famous,4.45,134249.0,genre fiction,1412.17,847.302,4.99,330.0,Simon and Schuster Digital Sales Inc,283.0
311,311.0,2015,A Court of Thorns and Roses,Sarah J. Maas,Excellent,4.29,167848.0,nonfiction,3650.19,2190.114,12.99,331.0,"Amazon Digital Services,  Inc.",281.0
313,313.0,1989,Chicka Chicka Boom Boom,"Bill Martin Jr., John Archambault, Lois Ehlert",Excellent,4.21,105192.0,fiction,1097.25,658.35,3.99,335.0,Simon and Schuster Digital Sales Inc,275.0
314,314.0,2009,Smile,Raina Telgemeier,Excellent,4.19,98628.0,genre fiction,2618.07,1570.842,9.59,336.0,HarperCollins Publishers,273.0
315,315.0,1950, Animal Farm & 1984,"George Orwell, Christopher Hitchens",Excellent,4.26,116197.0,genre fiction,267.3,0.0,0.99,338.0,"Amazon Digital Services,  Inc.",270.0
316,316.0,1996,The Deep End of the Ocean,Jacquelyn Mitchard,Intermediate,3.84,102733.0,genre fiction,267.3,0.0,0.99,338.0,"Amazon Digital Services,  Inc.",270.0
317,317.0,2001,The Bonesetter's Daughter,Amy Tan,Intermediate,3.98,99926.0,nonfiction,263.34,0.0,0.99,340.0,"Amazon Digital Services,  Inc.",266.0
318,318.0,1999,"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,Intermediate,3.74,112733.0,genre fiction,997.5,0.0,3.75,340.0,"Amazon Digital Services,  Inc.",266.0
319,319.0,2012,Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,Intermediate,3.75,110552.0,genre fiction,1719.85,1031.91,6.49,341.0,Hachette Book Group,265.0
320,320.0,1979,Flowers in the Attic,V.C. Andrews,Intermediate,3.79,109063.0,children,1877.82,1126.692,7.14,342.0,"Amazon Digital Services,  Inc.",263.0
321,321.0,2016,When Breath Becomes Air,"Paul Kalanithi, Abraham Verghese",Excellent,4.32,116771.0,genre fiction,1041.39,0.0,3.99,343.0,"Amazon Digital Services,  Inc.",261.0
322,322.0,1990,Maniac Magee,Jerry Spinelli,Intermediate,3.86,99831.0,genre fiction,777.4,0.0,2.99,344.0,"Amazon Digital Services,  Inc.",260.0
323,323.0,1999,Invisible Monsters,Chuck Palahniuk,Intermediate,4.0,54937.0,genre fiction,771.42,462.852,2.99,345.0,Simon and Schuster Digital Sales Inc,258.0
324,324.0,1601,"Twelfth Night; or, What You Will",William Shakespeare,Intermediate,3.97,119607.0,genre fiction,1527.45,916.47,5.99,347.0,Penguin Group (USA) LLC,255.0
325,325.0,2000,Gathering Blue,Lois Lowry,Intermediate,3.8,114917.0,genre fiction,997.5,0.0,3.99,350.0,"Amazon Digital Services,  Inc.",250.0
326,326.0,1978,The Westing Game,Ellen Raskin,Excellent,4.03,117108.0,genre fiction,997.5,598.5,3.99,350.0,"Amazon Digital Services,  Inc.",250.0
327,327.0,2014,Red Rising,Pierce Brown,Excellent,4.26,104939.0,genre fiction,246.51,147.906,0.99,351.0,"Amazon Digital Services,  Inc.",249.0
328,328.0,2008,The Way of Shadows,Brent Weeks,Excellent,4.15,109236.0,genre fiction,744.51,446.706,2.99,351.0,Random House LLC,249.0
329,329.0,1988,The Bean Trees,Barbara Kingsolver,Intermediate,3.94,105032.0,children,1635.93,981.558,6.57,352.0,"Amazon Digital Services,  Inc.",249.0
330,330.0,2013,Walking Disaster,Jamie McGuire,Excellent,4.23,134022.0,genre fiction,3221.52,0.0,12.99,353.0,"Amazon Digital Services,  Inc.",248.0
331,331.0,2014,Words of Radiance,Brandon Sanderson,Famous,4.77,73572.0,genre fiction,741.52,444.912,2.99,354.0,HarperCollins Publishers,248.0
332,332.0,1988,Guess How Much I Love You,"Sam McBratney, Anita Jeram",Excellent,4.36,104690.0,genre fiction,738.53,0.0,2.99,355.0,"Amazon Digital Services,  Inc.",247.0
333,333.0,2001,The Fiery Cross,Diana Gabaldon,Excellent,4.26,103552.0,genre fiction,1141.14,684.684,4.62,356.0,Penguin Group (USA) LLC,247.0
334,334.0,1978,Night Shift,"Stephen King, John D. MacDonald",Intermediate,3.96,104248.0,genre fiction,244.53,146.718,0.99,356.0,"Amazon Digital Services,  Inc.",247.0
335,335.0,1974,Jaws,Peter Benchley,Intermediate,3.96,102574.0,genre fiction,1227.54,736.524,4.99,357.0,Simon and Schuster Digital Sales Inc,246.0
336,336.0,2005,The History of Love,Nicole Krauss,Intermediate,3.91,98379.0,genre fiction,977.55,0.0,3.99,359.0,"Amazon Digital Services,  Inc.",245.0
337,337.0,1945,Pippi LÃ¥ngstrump,"Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn",Excellent,4.11,123065.0,genre fiction,977.55,586.53,3.99,360.0,"Amazon Digital Services,  Inc.",245.0
338,338.0,2006,L'Ã©lÃ©gance du hÃ©risson,"Muriel Barbery, Alison Anderson",Intermediate,3.73,101669.0,genre fiction,1698.57,1019.142,6.99,363.0,Hachette Book Group,243.0
339,339.0,2005,Team of Rivals: The Political Genius of Abraham Lincoln,"Doris Kearns Goodwin, Suzanne Toren",Excellent,4.3,102923.0,genre fiction,726.57,435.942,2.99,364.0,"Amazon Digital Services,  Inc.",243.0
340,340.0,2010,Dead in the Family,Charlaine Harris,Intermediate,3.88,127379.0,genre fiction,1494.45,896.67,6.15,364.0,"Amazon Digital Services,  Inc.",243.0
341,341.0,1947,La peste,"Albert Camus, Stuart Gilbert",Intermediate,3.97,95803.0,genre fiction,965.58,0.0,3.99,366.0,"Amazon Digital Services,  Inc.",242.0
342,342.0,1999,The Reptile Room,"Lemony Snicket, Brett Helquist",Intermediate,3.95,130213.0,genre fiction,1202.59,721.554,4.99,367.0,Simon and Schuster Digital Sales Inc,241.0
343,343.0,2012,Brain on Fire,Susannah Cahalan,Intermediate,4.0,92849.0,genre fiction,2566.65,1539.99,10.65,368.0,Hachette Book Group,241.0
344,344.0,2007,Wicked Lovely ,Melissa Marr,Intermediate,3.69,131034.0,genre fiction,1197.6,718.56,4.99,370.0,Simon and Schuster Digital Sales Inc,240.0
345,345.0,1941,Curious George,H.A. Rey,Excellent,4.13,105473.0,genre fiction,236.61,141.966,0.99,371.0,"Amazon Digital Services,  Inc.",239.0
346,346.0,1979,Die unendliche Geschichte,"Michael Ende, Ralph Manheim, Roswitha Quadflieg",Excellent,4.17,109110.0,genre fiction,953.61,0.0,3.99,372.0,"Amazon Digital Services,  Inc.",239.0
347,347.0,1998,A Beautiful Mind,Sylvia Nasar,Excellent,4.12,98276.0,genre fiction,1544.62,926.772,6.49,373.0,Random House LLC,238.0
348,348.0,1906,The Jungle,"Upton Sinclair, Earl Lee, Kathleen DeGrave",Intermediate,3.72,97468.0,genre fiction,1419.63,851.778,5.99,375.0,Random House LLC,237.0
349,349.0,2008,The Summoning,Kelley Armstrong,Excellent,4.03,132285.0,genre fiction,471.63,0.0,1.99,376.0,"Amazon Digital Services,  Inc.",237.0
350,350.0,1985,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,Excellent,4.04,102419.0,nonfiction,1182.63,709.578,4.99,376.0,Random House LLC,237.0
351,351.0,1978,Storm Island,Ken Follett,Excellent,4.16,93475.0,fiction,708.63,0.0,2.99,376.0,"Amazon Digital Services,  Inc.",237.0
352,352.0,2000,The Blind Assassin,Margaret Atwood,Intermediate,3.95,98464.0,nonfiction,1885.64,1131.384,7.99,378.0,HarperCollins Christian Publishing,236.0
353,353.0,2014,Hollow City,Ransom Riggs,Excellent,4.07,73149.0,genre fiction,1642.65,985.59,6.99,380.0,Penguin Group (USA) LLC,235.0
354,354.0,1999,House of Sand and Fog,Andre Dubus III,Intermediate,3.83,55381.0,genre fiction,933.66,560.196,3.99,381.0,"Amazon Digital Services,  Inc.",234.0
355,355.0,2014,The Girl with All the Gifts,M.R. Carey,Intermediate,3.93,99729.0,genre fiction,463.67,278.202,1.99,383.0,Simon and Schuster Digital Sales Inc,233.0
356,356.0,1930,As I Lay Dying,William Faulkner,Intermediate,3.72,103547.0,nonfiction,461.68,277.008,1.99,385.0,HarperCollins Publishers,6264.0
357,357.0,1955,Harold and the Purple Crayon,Crockett Johnson,Excellent,4.24,107221.0,genre fiction,925.68,0.0,3.99,385.0,"Amazon Digital Services,  Inc.",6264.0
358,358.0,2006,"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward,Excellent,4.35,137558.0,nonfiction,2460.15,1476.09,10.65,387.0,Random House LLC,6237.0
360,360.0,2001,Fool Moon ,Jim Butcher,Excellent,4.04,111371.0,genre fiction,687.7,412.62,2.99,389.0,Macmillan,6210.0
361,361.0,2011,David and Goliath,Malcolm Gladwell,Intermediate,3.9,90083.0,nonfiction,2509.3,1505.58,10.91,389.0,Random House LLC,6210.0
362,362.0,2002,é‹¼ã®éŒ¬é‡‘è¡“å¸« 1,"Hiromu Arakawa, Akira Watanabe",Famous,4.49,93990.0,genre fiction,226.71,0.0,0.99,391.0,"Amazon Digital Services,  Inc.",6183.0
363,363.0,1989,Guards! Guards!,Terry Pratchett,Excellent,4.32,108652.0,genre fiction,1142.71,0.0,4.99,392.0,"Amazon Digital Services,  Inc.",6183.0
364,364.0,2005,The Year of Magical Thinking,Joan Didion,Intermediate,3.86,94590.0,genre fiction,909.72,0.0,3.99,393.0,"Amazon Digital Services,  Inc.",6156.0
365,365.0,2003,We Need to Talk About Kevin,Lionel Shriver,Excellent,4.07,101343.0,genre fiction,5902.92,3541.752,25.89,393.0,HarperCollins Publishers,6156.0
366,366.0,1973,Rendezvous with Rama,Arthur C. Clarke,Excellent,4.06,93151.0,genre fiction,1468.69,881.214,6.47,395.0,"Amazon Digital Services,  Inc.",6129.0
367,367.0,1988,The Queen of the Damned,Anne Rice,Intermediate,3.86,110693.0,genre fiction,223.74,134.244,0.99,397.0,"Amazon Digital Services,  Inc.",6102.0
368,368.0,1920,The Age of Innocence,"Edith Wharton, Maureen Howard",Intermediate,3.93,102646.0,genre fiction,1188.76,713.256,5.26,398.0,"Amazon Digital Services,  Inc.",6102.0
369,369.0,1976,The Selfish Gene,Richard Dawkins,Excellent,4.11,96564.0,genre fiction,897.75,538.65,3.99,400.0,"Amazon Digital Services,  Inc.",6075.0
370,370.0,2001,Year of Wonders: A Novel of the Plague,Geraldine Brooks,Intermediate,4.0,104283.0,genre fiction,221.76,0.0,0.99,401.0,"Amazon Digital Services,  Inc.",6048.0
371,371.0,1992,The Black Echo,Michael Connelly,Excellent,4.08,98591.0,nonfiction,1274.56,764.736,5.69,401.0,"Amazon Digital Services,  Inc.",6048.0
372,372.0,1938,Anthem,Ayn Rand,Intermediate,3.62,95620.0,genre fiction,1112.77,0.0,4.99,403.0,"Amazon Digital Services,  Inc.",6021.0
373,373.0,2011,Gabriel's Inferno,Sylvain Reynard,Excellent,4.02,119633.0,genre fiction,1781.77,1069.062,7.99,404.0,Penguin Group (USA) LLC,6021.0
374,374.0,1978,Cloudy with a Chance of Meatballs,"Judi Barrett, Ron Barrett",Excellent,4.15,104677.0,genre fiction,1662.78,997.668,7.49,406.0,Penguin Group (USA) LLC,5994.0
375,375.0,2010,Major Pettigrew's Last Stand,Helen Simonson,Intermediate,3.87,97745.0,genre fiction,660.79,396.474,2.99,408.0,Simon and Schuster Digital Sales Inc,5967.0
376,376.0,2009,Vision in White,Nora Roberts,Excellent,4.1,103933.0,genre fiction,437.8,262.68,1.99,409.0,Random House LLC,5940.0
377,377.0,2006,The Tenth Circle,Jodi Picoult,Novice,3.48,99170.0,genre fiction,3955.6,2373.36,17.98,409.0,"Amazon Digital Services,  Inc.",5940.0
378,378.0,2011,The Throne of Fire,Rick Riordan,Excellent,4.2,116360.0,nonfiction,2067.36,1240.416,9.44,411.0,"Amazon Digital Services,  Inc.",5913.0
379,379.0,2005,Old Man's War,John Scalzi,Excellent,4.23,97653.0,genre fiction,1311.81,787.086,5.99,412.0,Macmillan,5913.0
380,380.0,1992,Gerald's Game,Stephen King,Famous,3.47,100158.0,fiction,433.82,260.292,1.99,413.0,"Amazon Digital Services,  Inc.",5886.0
381,381.0,1996,Two for the Dough,Janet Evanovich,Excellent,4.11,116171.0,nonfiction,2177.82,1306.692,9.99,414.0,"Amazon Digital Services,  Inc.",5886.0
383,383.0,1974,The Forever War,Joe Haldeman,Excellent,4.15,87636.0,genre fiction,214.83,128.898,0.99,416.0,"Amazon Digital Services,  Inc.",5859.0
384,384.0,1994,Insomnia,"Stephen King, Bettina Blanch Tyroller",Intermediate,3.79,100972.0,genre fiction,2311.05,1386.63,10.65,416.0,Random House LLC,5859.0
385,385.0,2003,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,Intermediate,3.57,94696.0,genre fiction,1072.85,0.0,4.99,419.0,"Amazon Digital Services,  Inc.",5805.0
386,386.0,2006,The Blade Itself,Joe Abercrombie,Excellent,4.14,97501.0,genre fiction,1717.85,1030.71,7.99,419.0,Random House LLC,5805.0
387,387.0,2002,The Arctic Incident,Eoin Colfer,Intermediate,3.94,108031.0,nonfiction,642.85,385.71,2.99,420.0,"Amazon Digital Services,  Inc.",5805.0
388,388.0,1993,The Shipping News,Annie Proulx,Intermediate,3.83,103151.0,genre fiction,1281.86,0.0,5.99,421.0,"Amazon Digital Services,  Inc.",5778.0
389,389.0,2011,äººç”ŸãŒã¨ãã‚ãç‰‡ã¥ã‘ã®é­”æ³•,"Marie KondÅ, Cathy Hirano",Intermediate,3.77,105063.0,genre fiction,849.87,509.922,3.99,423.0,"Amazon Digital Services,  Inc.",5751.0
390,390.0,2015,All the Bright Places,"Jennifer Niven, ÙØ±Ø§Ù†Ú© Ù…Ø¹Ù†ÙˆÛŒ",Excellent,4.19,132087.0,genre fiction,423.87,254.322,1.99,423.0,HarperCollins Publishers,5751.0
391,391.0,1997,DÃ©jÃ  Dead,Kathy Reichs,Intermediate,3.86,100369.0,genre fiction,1062.87,637.722,4.99,424.0,Hachette Book Group,5751.0
392,392.0,2007,The Alchemyst: The Secrets of The Immortal Nicholas Flamel,Michael Scott,Intermediate,3.84,58396.0,genre fiction,1693.88,1016.328,7.99,425.0,Penguin Group (USA) LLC,5724.0
393,393.0,2011,The Marriage Plot,Jeffrey Eugenides,Novice,3.42,90551.0,genre fiction,1080.32,648.192,5.12,427.0,Random House LLC,5697.0
394,394.0,1998,Hija de la fortuna,"Isabel Allende, Margaret Sayers Peden",Intermediate,3.89,89770.0,genre fiction,630.89,0.0,2.99,428.0,"Amazon Digital Services,  Inc.",5697.0
395,395.0,2015,Luckiest Girl Alive,Jessica Knoll,Novice,3.48,82504.0,genre fiction,2007.6,1204.56,9.56,430.0,Simon and Schuster Digital Sales Inc,5670.0
396,396.0,2004,"Crank (Crank, #1)",Ellen Hopkins,Excellent,4.16,104168.0,genre fiction,833.91,0.0,3.99,431.0,"Amazon Digital Services,  Inc.",5643.0
397,397.0,2012,The Raven Boys,Maggie Stiefvater,Excellent,4.05,121727.0,nonfiction,206.91,124.146,0.99,432.0,"Amazon Digital Services,  Inc.",5643.0
398,398.0,1954,I Am Legend and Other Stories,Richard Matheson,Intermediate,3.99,98795.0,genre fiction,621.92,0.0,2.99,433.0,"Amazon Digital Services,  Inc.",5616.0
399,399.0,2008,Olive Kitteridge,Elizabeth Strout,Intermediate,3.78,85019.0,genre fiction,205.92,0.0,0.99,433.0,"Amazon Digital Services,  Inc.",5616.0
400,400.0,2014,Not that Kind of Girl,"Lena Dunham, Joana Avillez",Novice,3.33,88251.0,nonfiction,1245.92,747.552,5.99,434.0,Random House LLC,5616.0
401,401.0,2001,Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,Excellent,4.04,85277.0,genre fiction,1032.93,0.0,4.99,436.0,"Amazon Digital Services,  Inc.",5589.0
402,402.0,2009,Fire,Kristin Cashore,Excellent,4.12,98180.0,genre fiction,2457.95,1474.77,11.99,439.0,Penguin Group (USA) LLC,5535.0
403,403.0,1952,En attendant Godot,Samuel Beckett,Intermediate,3.81,98950.0,genre fiction,1621.97,973.182,7.99,444.0,Penguin Group (USA) LLC,5481.0
404,404.0,1906,White Fang,Jack London,Intermediate,3.94,100223.0,genre fiction,1703.17,1021.902,8.39,444.0,Random House LLC,5481.0
405,405.0,2003,Wolves of the Calla,"Stephen King, Bernie Wrightson",Excellent,4.17,98182.0,genre fiction,603.98,0.0,2.99,445.0,"Amazon Digital Services,  Inc.",5454.0
406,406.0,2000,His Dark Materials,Philip Pullman,Excellent,4.25,88227.0,genre fiction,603.98,0.0,2.99,445.0,"Amazon Digital Services,  Inc.",5454.0
407,407.0,2012,The Edge of Never,J.A. Redmerski,Excellent,4.26,117508.0,genre fiction,600.99,360.594,2.99,447.0,Simon and Schuster Digital Sales Inc,5427.0
408,408.0,2013,Reconstructing Amelia,Kimberly McCreight,Intermediate,3.82,86965.0,nonfiction,198.99,119.394,0.99,447.0,"Amazon Digital Services,  Inc.",5427.0
409,409.0,2014,The One Plus One,Jojo Moyes,Intermediate,3.94,87412.0,genre fiction,399.99,239.994,1.99,448.0,Hachette Book Group,5427.0
410,410.0,1998,The Hours,Michael Cunningham,Intermediate,3.91,97462.0,genre fiction,500.0,300.0,2.5,449.0,HarperCollins Publishers,5400.0
411,411.0,2012,Wallbanger,Alice Clayton,Excellent,4.1,134805.0,nonfiction,1898.0,0.0,9.49,450.0,"Amazon Digital Services,  Inc.",5400.0
412,412.0,1997,Holidays on Ice,David Sedaris,Intermediate,3.95,82591.0,genre fiction,595.01,0.0,2.99,452.0,"Amazon Digital Services,  Inc.",5373.0
413,413.0,1996,Desperation,Stephen King,Intermediate,3.8,94821.0,genre fiction,196.02,117.612,0.99,453.0,"Amazon Digital Services,  Inc.",5346.0
414,414.0,2011,Passion,Lauren Kate,Intermediate,3.89,119735.0,genre fiction,790.02,0.0,3.99,454.0,"Amazon Digital Services,  Inc.",5346.0
415,415.0,2012,The Kill Order,James Dashner,Intermediate,3.69,96568.0,genre fiction,1059.86,635.916,5.38,455.0,Random House LLC,5319.0
416,416.0,2011,Angelfall,Susan Ee,Excellent,4.19,73886.0,genre fiction,194.04,0.0,0.99,457.0,"Amazon Digital Services,  Inc.",5292.0
417,417.0,2001,Empire Falls,Richard Russo,Intermediate,3.91,90811.0,genre fiction,586.04,0.0,2.99,458.0,"Amazon Digital Services,  Inc.",5292.0
418,418.0,1993,The Fires of Heaven,Robert Jordan,Excellent,4.13,93227.0,children,1480.05,888.03,7.59,459.0,Random House LLC,5265.0
419,419.0,2014,I'll Give You the Sun,Jandy Nelson,Excellent,4.14,140937.0,genre fiction,583.05,349.83,2.99,460.0,Simon and Schuster Digital Sales Inc,5265.0
420,420.0,1999,Survivor,Chuck Palahniuk,Intermediate,3.93,49551.0,genre fiction,192.06,115.236,0.99,462.0,HarperCollins Publishers,5238.0
421,421.0,2007,Shopaholic and Baby,Sophie Kinsella,Intermediate,3.77,98130.0,genre fiction,191.07,0.0,0.99,463.0,"Amazon Digital Services,  Inc.",5211.0
422,422.0,2004,The Dark Tower,Stephen King,Excellent,4.27,93296.0,genre fiction,770.07,0.0,3.99,463.0,"Amazon Digital Services,  Inc.",5211.0
423,423.0,2009,Twilight Director's Notebook,Catherine Hardwicke,Excellent,4.2,88847.0,genre fiction,1726.08,1035.648,8.99,465.0,HarperCollins Publishers,5184.0
424,424.0,2001,Shopaholic Abroad,Sophie Kinsella,Intermediate,3.75,93498.0,genre fiction,1468.79,881.274,7.69,468.0,Penguin Group (USA) LLC,5157.0
425,425.0,1984,"Surely You're Joking, Mr. Feynman! Adventures of a Curious Character",Richard Feynman,Excellent,4.29,91625.0,genre fiction,948.1,0.0,4.99,470.0,"Amazon Digital Services,  Inc.",5130.0
426,426.0,2010,Linger,Maggie Stiefvater,Intermediate,3.91,125363.0,genre fiction,376.11,0.0,1.99,471.0,"Amazon Digital Services,  Inc.",5103.0
428,428.0,1916,A Portrait of the Artist as a Young Man,"James Joyce, Seamus Deane",Intermediate,3.6,92569.0,fiction,565.11,339.066,2.99,472.0,Random House LLC,5103.0
429,429.0,2009,The Gathering Storm,"Robert Jordan, Brandon Sanderson",Excellent,4.34,94095.0,genre fiction,750.12,0.0,3.99,473.0,"Amazon Digital Services,  Inc.",5076.0
430,430.0,1871,Middlemarch,"George Eliot, Michel Faber",Intermediate,3.93,95995.0,nonfiction,186.12,0.0,0.99,474.0,"Amazon Digital Services,  Inc.",5076.0
431,431.0,2012,Point of Retreat,Colleen Hoover,Excellent,4.3,109344.0,genre fiction,185.13,0.0,0.99,475.0,"Amazon Digital Services,  Inc.",5049.0
